user.screen_name,full_text,id
Victim_Card_,Twitter space is a space of लौंडियाबाजी 🥴,1381461302002941955
_loyalty_amii_,"this fat mexican guy called me a ""nigger"" today",1381461251008565249
Dr_EthicsGate,Seek Truth and Report It #gamergate,1381461235040931841
enormoussatan,forward fucking niggers if you please! forward fucking niggers if you don't please! BTW... i didn't do SHIT to that fucking nigger!,1381461113380999177
YungGai20,"@KevinThompsonn @Anon_Crypto1 @ingodwetryst @JPTasker Source for ""millions in fraud""? Oh, I see now, you're an anti-immigrant bigot as well. Makes sense now.",1381461088642822144
pradeephebbar,"When one does stupid things in public, people are bound to troll &amp; laugh at you. Good example below. When there are millions of things which you can do by action &amp; not activisim in your own country you say something like thin in public &amp; then cry victim card https://t.co/xHLgqTFZU7",1381460958913044480
jaclynndaviss,@TheHIVE_Social Ripped off from you? he advertised on ur app just like you decided to advertise on tik tok and it happened to get peoples attention. And gaslighting you? He never gaslit you he was stating that he’s also self taught and an immigrant just how you said you are a women &amp; self-taught,1381460943834611712
myperfectright,"@brianstelter He believes what will keep him on TV &amp; wealthy. His convictions for the guttersnipe white supremacists who want to reduce the immigrant &amp; Jewish populations are more buy my book, but stay away from me.",1381460931817971712
Billsfan1991DMP,"@rtwilke @xdemo2016 @EugeneTways @MrAndyNgo @ICEgov Ah there's another term to add to ""If any chode tries this as an insult, I have no obligation to take you seriously"".
Gonna try calling me a ""Woke SJW"" next you git?",1381460557644005378
DerpyPescao,@clemefn Gn:good nigger😈,1381460505609506817
HEY__HEY__PAULA,"@Souvarine__ @IRLKrazzett @rida_ehab Everything the #JSIL uses can be lethal 

https://t.co/YHdSsi0bay",1381460444762808322
BorisWatanabe,@Ashique_71 @LisaSuss @JackPosobiec Lol what a clown. You think you can do a better job than the cops there? Go and try to have a walk after dark in north Minneapolis. Oh wait I guess you are just a keyboard warrior SJW.,1381460377570058242
teaseandseize,"Again, Hogg is not a victim. He’s a grifter who wasn’t on site, but rectified the situation by racing to school to claim his victim card.

He wasn’t shot. He was only inconvenienced by having to race to campus on his bike. Not a victim in any way. https://t.co/DnSHVXKBBf",1381460268450988032
IndianSoldier02,"@ViratFan08 Imagine the furore anyone will face if someone faces if reservations are removed... Victim Card / Poor are attacked, etc. 
Any change is a big change in India...",1381460047486537730
justsashathings,"Someone just said, ""If you keep packets apple juice and I told you that one of them has pee, you would be cautious about all the packets."" to explain #notallmen but #allwomen

A bitch got hurt being compared apple juice.",1381460020278095873
514shorty_,taught my french immigrant bf what dumptruck means and now whenever he sees me he greets me by saying “nice humpertrunk”,1381459898022641664
